"id","invitation_id","sent_by","channel","subject","message","status","error_message","sent_at"
"11","270","33730d91-9a14-4721-aec1-1f1aaa89bb40","EMAIL","Rappel d’invitation - Team building créativité","Bonjour Fraj,

Nous vous rappelons que vous avez une invitation en attente pour l’événement « Team building créativité ».

Votre réponse nous aide à mieux organiser la participation et la logistique de l’événement.

Merci de confirmer votre réponse dès que possible depuis la plateforme CapEvents.

Cordialement,
L’équipe CapEvents
","SENT",NULL,"2026-05-05 22:35:09.457728+00"
"12","272","33730d91-9a14-4721-aec1-1f1aaa89bb40","EMAIL","Rappel d’invitation - Team building créativité","Bonjour Youssef,

Nous vous rappelons que vous avez une invitation en attente pour l’événement « Team building créativité ».

Votre réponse nous aide à mieux organiser la participation et la logistique de l’événement.

Merci de confirmer votre réponse dès que possible depuis la plateforme CapEvents.

Cordialement,
L’équipe CapEvents
","SENT",NULL,"2026-05-05 22:35:09.462488+00"
"13","275","33730d91-9a14-4721-aec1-1f1aaa89bb40","EMAIL","Rappel d’invitation - Team building créativité","Bonjour Aya,

Nous vous rappelons que vous avez une invitation en attente pour l’événement « Team building créativité ».

Votre réponse nous aide à mieux organiser la participation et la logistique de l’événement.

Merci de confirmer votre réponse dès que possible depuis la plateforme CapEvents.

Cordialement,
L’équipe CapEvents
","SENT",NULL,"2026-05-05 22:35:09.467315+00"
"14","277","33730d91-9a14-4721-aec1-1f1aaa89bb40","EMAIL","Rappel d’invitation - Team building créativité","Bonjour Foued,

Nous vous rappelons que vous avez une invitation en attente pour l’événement « Team building créativité ».

Votre réponse nous aide à mieux organiser la participation et la logistique de l’événement.

Merci de confirmer votre réponse dès que possible depuis la plateforme CapEvents.

Cordialement,
L’équipe CapEvents
","SENT",NULL,"2026-05-05 22:35:09.474659+00"
"15","279","33730d91-9a14-4721-aec1-1f1aaa89bb40","EMAIL","Rappel d’invitation - Team building créativité","Bonjour Sami,

Nous vous rappelons que vous avez une invitation en attente pour l’événement « Team building créativité ».

Votre réponse nous aide à mieux organiser la participation et la logistique de l’événement.

Merci de confirmer votre réponse dès que possible depuis la plateforme CapEvents.

Cordialement,
L’équipe CapEvents
","SENT",NULL,"2026-05-05 22:35:09.478982+00"
"16","280","33730d91-9a14-4721-aec1-1f1aaa89bb40","EMAIL","Rappel d’invitation - Team building créativité","Bonjour Mounir,

Nous vous rappelons que vous avez une invitation en attente pour l’événement « Team building créativité ».

Votre réponse nous aide à mieux organiser la participation et la logistique de l’événement.

Merci de confirmer votre réponse dès que possible depuis la plateforme CapEvents.

Cordialement,
L’équipe CapEvents
","SENT",NULL,"2026-05-05 22:35:09.484275+00"
"17","282","33730d91-9a14-4721-aec1-1f1aaa89bb40","EMAIL","Rappel d’invitation - Team building créativité","Bonjour Ali,

Nous vous rappelons que vous avez une invitation en attente pour l’événement « Team building créativité ».

Votre réponse nous aide à mieux organiser la participation et la logistique de l’événement.

Merci de confirmer votre réponse dès que possible depuis la plateforme CapEvents.

Cordialement,
L’équipe CapEvents
","SENT",NULL,"2026-05-05 22:35:09.488598+00"
"18","283","33730d91-9a14-4721-aec1-1f1aaa89bb40","EMAIL","Rappel d’invitation - Team building créativité","Bonjour Abdelhamid,

Nous vous rappelons que vous avez une invitation en attente pour l’événement « Team building créativité ».

Votre réponse nous aide à mieux organiser la participation et la logistique de l’événement.

Merci de confirmer votre réponse dès que possible depuis la plateforme CapEvents.

Cordialement,
L’équipe CapEvents
","SENT",NULL,"2026-05-05 22:35:09.502667+00"
"19","284","33730d91-9a14-4721-aec1-1f1aaa89bb40","EMAIL","Rappel d’invitation - Team building créativité","Bonjour Abdelhamid,

Nous vous rappelons que vous avez une invitation en attente pour l’événement « Team building créativité ».

Votre réponse nous aide à mieux organiser la participation et la logistique de l’événement.

Merci de confirmer votre réponse dès que possible depuis la plateforme CapEvents.

Cordialement,
L’équipe CapEvents
","SENT",NULL,"2026-05-05 22:35:09.508243+00"
"20","286","33730d91-9a14-4721-aec1-1f1aaa89bb40","EMAIL","Rappel d’invitation - Team building créativité","Bonjour Karim,

Nous vous rappelons que vous avez une invitation en attente pour l’événement « Team building créativité ».

Votre réponse nous aide à mieux organiser la participation et la logistique de l’événement.

Merci de confirmer votre réponse dès que possible depuis la plateforme CapEvents.

Cordialement,
L’équipe CapEvents
","SENT",NULL,"2026-05-05 22:35:09.513886+00"
"21","287","33730d91-9a14-4721-aec1-1f1aaa89bb40","EMAIL","Rappel d’invitation - Team building créativité","Bonjour Ahmed,

Nous vous rappelons que vous avez une invitation en attente pour l’événement « Team building créativité ».

Votre réponse nous aide à mieux organiser la participation et la logistique de l’événement.

Merci de confirmer votre réponse dès que possible depuis la plateforme CapEvents.

Cordialement,
L’équipe CapEvents
","SENT",NULL,"2026-05-05 22:35:09.520285+00"
"22","288","33730d91-9a14-4721-aec1-1f1aaa89bb40","EMAIL","Rappel d’invitation - Team building créativité","Bonjour Mounir,

Nous vous rappelons que vous avez une invitation en attente pour l’événement « Team building créativité ».

Votre réponse nous aide à mieux organiser la participation et la logistique de l’événement.

Merci de confirmer votre réponse dès que possible depuis la plateforme CapEvents.

Cordialement,
L’équipe CapEvents
","SENT",NULL,"2026-05-05 22:35:09.52293+00"
"23","289","33730d91-9a14-4721-aec1-1f1aaa89bb40","EMAIL","Rappel d’invitation - Team building créativité","Bonjour Nour,

Nous vous rappelons que vous avez une invitation en attente pour l’événement « Team building créativité ».

Votre réponse nous aide à mieux organiser la participation et la logistique de l’événement.

Merci de confirmer votre réponse dès que possible depuis la plateforme CapEvents.

Cordialement,
L’équipe CapEvents
","SENT",NULL,"2026-05-05 22:35:09.530306+00"
"24","291","33730d91-9a14-4721-aec1-1f1aaa89bb40","EMAIL","Rappel d’invitation - Afterwork réseau interne","Bonjour Fatma,

Bonjour, nous vous invitons à confirmer votre participation à l’événement « Afterwork réseau interne » afin de faciliter l’organisation. Votre réponse permettra d’ajuster la logistique et de mieux anticiper la participation. Merci de répondre dès que possible.

Merci de confirmer votre réponse dès que possible depuis la plateforme CapEvents.

Cordialement,
L’équipe CapEvents
","SENT",NULL,"2026-05-06 10:23:11.533274+00"
"25","293","33730d91-9a14-4721-aec1-1f1aaa89bb40","EMAIL","Rappel d’invitation - Afterwork réseau interne","Bonjour Foued,

Bonjour, nous vous invitons à confirmer votre participation à l’événement « Afterwork réseau interne » afin de faciliter l’organisation. Votre réponse permettra d’ajuster la logistique et de mieux anticiper la participation. Merci de répondre dès que possible.

Merci de confirmer votre réponse dès que possible depuis la plateforme CapEvents.

Cordialement,
L’équipe CapEvents
","SENT",NULL,"2026-05-06 10:23:11.617034+00"
"26","294","33730d91-9a14-4721-aec1-1f1aaa89bb40","EMAIL","Rappel d’invitation - Afterwork réseau interne","Bonjour Soufien,

Bonjour, nous vous invitons à confirmer votre participation à l’événement « Afterwork réseau interne » afin de faciliter l’organisation. Votre réponse permettra d’ajuster la logistique et de mieux anticiper la participation. Merci de répondre dès que possible.

Merci de confirmer votre réponse dès que possible depuis la plateforme CapEvents.

Cordialement,
L’équipe CapEvents
","SENT",NULL,"2026-05-06 10:23:11.623955+00"
"27","296","33730d91-9a14-4721-aec1-1f1aaa89bb40","EMAIL","Rappel d’invitation - Afterwork réseau interne","Bonjour Abdelhamid,

Bonjour, nous vous invitons à confirmer votre participation à l’événement « Afterwork réseau interne » afin de faciliter l’organisation. Votre réponse permettra d’ajuster la logistique et de mieux anticiper la participation. Merci de répondre dès que possible.

Merci de confirmer votre réponse dès que possible depuis la plateforme CapEvents.

Cordialement,
L’équipe CapEvents
","SENT",NULL,"2026-05-06 10:23:11.631791+00"
"28","297","33730d91-9a14-4721-aec1-1f1aaa89bb40","EMAIL","Rappel d’invitation - Afterwork réseau interne","Bonjour Abdelhamid,

Bonjour, nous vous invitons à confirmer votre participation à l’événement « Afterwork réseau interne » afin de faciliter l’organisation. Votre réponse permettra d’ajuster la logistique et de mieux anticiper la participation. Merci de répondre dès que possible.

Merci de confirmer votre réponse dès que possible depuis la plateforme CapEvents.

Cordialement,
L’équipe CapEvents
","SENT",NULL,"2026-05-06 10:23:11.638196+00"
"29","298","33730d91-9a14-4721-aec1-1f1aaa89bb40","EMAIL","Rappel d’invitation - Afterwork réseau interne","Bonjour Karim,

Bonjour, nous vous invitons à confirmer votre participation à l’événement « Afterwork réseau interne » afin de faciliter l’organisation. Votre réponse permettra d’ajuster la logistique et de mieux anticiper la participation. Merci de répondre dès que possible.

Merci de confirmer votre réponse dès que possible depuis la plateforme CapEvents.

Cordialement,
L’équipe CapEvents
","SENT",NULL,"2026-05-06 10:23:11.645671+00"
"30","300","33730d91-9a14-4721-aec1-1f1aaa89bb40","EMAIL","Rappel d’invitation - Afterwork réseau interne","Bonjour Ahmed,

Bonjour, nous vous invitons à confirmer votre participation à l’événement « Afterwork réseau interne » afin de faciliter l’organisation. Votre réponse permettra d’ajuster la logistique et de mieux anticiper la participation. Merci de répondre dès que possible.

Merci de confirmer votre réponse dès que possible depuis la plateforme CapEvents.

Cordialement,
L’équipe CapEvents
","SENT",NULL,"2026-05-06 10:23:11.651529+00"
"31","301","33730d91-9a14-4721-aec1-1f1aaa89bb40","EMAIL","Rappel d’invitation - Afterwork réseau interne","Bonjour Fraj,

Bonjour, nous vous invitons à confirmer votre participation à l’événement « Afterwork réseau interne » afin de faciliter l’organisation. Votre réponse permettra d’ajuster la logistique et de mieux anticiper la participation. Merci de répondre dès que possible.

Merci de confirmer votre réponse dès que possible depuis la plateforme CapEvents.

Cordialement,
L’équipe CapEvents
","SENT",NULL,"2026-05-06 10:23:11.657447+00"
"32","302","33730d91-9a14-4721-aec1-1f1aaa89bb40","EMAIL","Rappel d’invitation - Afterwork réseau interne","Bonjour Nour,

Bonjour, nous vous invitons à confirmer votre participation à l’événement « Afterwork réseau interne » afin de faciliter l’organisation. Votre réponse permettra d’ajuster la logistique et de mieux anticiper la participation. Merci de répondre dès que possible.

Merci de confirmer votre réponse dès que possible depuis la plateforme CapEvents.

Cordialement,
L’équipe CapEvents
","SENT",NULL,"2026-05-06 10:23:11.662747+00"
"33","348","33730d91-9a14-4721-aec1-1f1aaa89bb40","EMAIL","Rappel d’invitation - Afterwork réseau interne","Bonjour Mounir,

Bonjour, nous vous invitons à confirmer votre participation à l’événement « Afterwork réseau interne » afin de faciliter l’organisation. Votre réponse permettra d’ajuster la logistique et de mieux anticiper la participation. Merci de répondre dès que possible.

Merci de confirmer votre réponse dès que possible depuis la plateforme CapEvents.

Cordialement,
L’équipe CapEvents
","SENT",NULL,"2026-05-06 10:23:11.66978+00"
"34","349","33730d91-9a14-4721-aec1-1f1aaa89bb40","EMAIL","Rappel d’invitation - Afterwork réseau interne","Bonjour Wissem,

Bonjour, nous vous invitons à confirmer votre participation à l’événement « Afterwork réseau interne » afin de faciliter l’organisation. Votre réponse permettra d’ajuster la logistique et de mieux anticiper la participation. Merci de répondre dès que possible.

Merci de confirmer votre réponse dès que possible depuis la plateforme CapEvents.

Cordialement,
L’équipe CapEvents
","SENT",NULL,"2026-05-06 10:23:11.675668+00"
"35","350","33730d91-9a14-4721-aec1-1f1aaa89bb40","EMAIL","Rappel d’invitation - Afterwork réseau interne","Bonjour Ali,

Bonjour, nous vous invitons à confirmer votre participation à l’événement « Afterwork réseau interne » afin de faciliter l’organisation. Votre réponse permettra d’ajuster la logistique et de mieux anticiper la participation. Merci de répondre dès que possible.

Merci de confirmer votre réponse dès que possible depuis la plateforme CapEvents.

Cordialement,
L’équipe CapEvents
","SENT",NULL,"2026-05-06 10:23:11.680824+00"
"36","351","33730d91-9a14-4721-aec1-1f1aaa89bb40","EMAIL","Rappel d’invitation - Afterwork réseau interne","Bonjour Ines,

Bonjour, nous vous invitons à confirmer votre participation à l’événement « Afterwork réseau interne » afin de faciliter l’organisation. Votre réponse permettra d’ajuster la logistique et de mieux anticiper la participation. Merci de répondre dès que possible.

Merci de confirmer votre réponse dès que possible depuis la plateforme CapEvents.

Cordialement,
L’équipe CapEvents
","SENT",NULL,"2026-05-06 10:23:11.68706+00"
"37","352","33730d91-9a14-4721-aec1-1f1aaa89bb40","EMAIL","Rappel d’invitation - Afterwork réseau interne","Bonjour Aya,

Bonjour, nous vous invitons à confirmer votre participation à l’événement « Afterwork réseau interne » afin de faciliter l’organisation. Votre réponse permettra d’ajuster la logistique et de mieux anticiper la participation. Merci de répondre dès que possible.

Merci de confirmer votre réponse dès que possible depuis la plateforme CapEvents.

Cordialement,
L’équipe CapEvents
","SENT",NULL,"2026-05-06 10:23:11.692906+00"
"38","353","33730d91-9a14-4721-aec1-1f1aaa89bb40","EMAIL","Rappel d’invitation - Afterwork réseau interne","Bonjour Rania,

Bonjour, nous vous invitons à confirmer votre participation à l’événement « Afterwork réseau interne » afin de faciliter l’organisation. Votre réponse permettra d’ajuster la logistique et de mieux anticiper la participation. Merci de répondre dès que possible.

Merci de confirmer votre réponse dès que possible depuis la plateforme CapEvents.

Cordialement,
L’équipe CapEvents
","SENT",NULL,"2026-05-06 10:23:11.698802+00"
"39","354","33730d91-9a14-4721-aec1-1f1aaa89bb40","EMAIL","Rappel d’invitation - Afterwork réseau interne","Bonjour Omar,

Bonjour, nous vous invitons à confirmer votre participation à l’événement « Afterwork réseau interne » afin de faciliter l’organisation. Votre réponse permettra d’ajuster la logistique et de mieux anticiper la participation. Merci de répondre dès que possible.

Merci de confirmer votre réponse dès que possible depuis la plateforme CapEvents.

Cordialement,
L’équipe CapEvents
","SENT",NULL,"2026-05-06 10:23:11.704142+00"
"40","355","33730d91-9a14-4721-aec1-1f1aaa89bb40","EMAIL","Rappel d’invitation - Afterwork réseau interne","Bonjour Mounir,

Bonjour, nous vous invitons à confirmer votre participation à l’événement « Afterwork réseau interne » afin de faciliter l’organisation. Votre réponse permettra d’ajuster la logistique et de mieux anticiper la participation. Merci de répondre dès que possible.

Merci de confirmer votre réponse dès que possible depuis la plateforme CapEvents.

Cordialement,
L’équipe CapEvents
","SENT",NULL,"2026-05-06 10:23:11.709435+00"
